date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:58:55	118122/118122	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2015%20Oct%202025%2012:58:54%20GMT	http://localhost:10016/	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/index.html	(from )
16:58:55	19740/19740	U-----	200	untouched ('OK')	text/css	etag:W/%2268ef4d72-4d1c%22	http://localhost:10016/wp-content/uploads/blocksy/css/global.css?ver=13394	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/wp-content/uploads/blocksy/css/global2ade.css	(from http://localhost:10016/)
16:58:55	91636/91636	U-----	200	untouched ('OK')	text/css	etag:W/%2268edcefc-165f4%22	http://localhost:10016/wp-content/plugins/stackable-ultimate-gutenberg-blocks/dist/frontend_blocks.css?ver=3.19.1	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/wp-content/plugins/stackable-ultimate-gutenberg-blocks/dist/frontend_blocksa2f8.css	(from http://localhost:10016/)
16:58:56	116345/116345	U-----	200	untouched ('OK')	text/css	etag:W/%22686d16f8-1c679%22	http://localhost:10016/wp-includes/css/dist/block-library/style.min.css?ver=6.8.3	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/wp-includes/css/dist/block-library/style.min32d4.css	(from http://localhost:10016/)
16:58:56	53557/53557	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Oct%202025%2012:58:55%20GMT	http://localhost:10016/ln.href,%20location.origin	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/ln.href,%20location.html	(from http://localhost:10016/)
16:58:56	53557/53557	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Oct%202025%2012:58:55%20GMT	http://localhost:10016/firebase-auth-compat.js	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/firebase-auth-compat.html	(from http://localhost:10016/)
16:58:56	885/885	U-----	200	untouched ('OK')	text/css	etag:W/%2268e9c043-375%22	http://localhost:10016/wp-content/themes/blocksy/style.css?ver=6.8.3	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/wp-content/themes/blocksy/style32d4.css	(from http://localhost:10016/)
16:58:56	101196/101196	U-----	200	untouched ('OK')	text/css	etag:W/%2268e9c042-18b4c%22	http://localhost:10016/wp-content/themes/blocksy/static/bundle/main.min.css?ver=2.1.15	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/wp-content/themes/blocksy/static/bundle/main.min202b.css	(from http://localhost:10016/)
16:58:56	346/346	U-----	200	untouched ('OK')	text/css	etag:W/%2268e9c042-15a%22	http://localhost:10016/wp-content/themes/blocksy/static/bundle/stackable.min.css?ver=2.1.15	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/wp-content/themes/blocksy/static/bundle/stackable.min202b.css	(from http://localhost:10016/)
16:58:57	99/99	U-----	200	untouched ('OK')	text/css	etag:%2268e9c042-63%22	http://localhost:10016/wp-content/themes/blocksy/static/bundle/no-scripts.min.css	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/wp-content/themes/blocksy/static/bundle/no-scripts.min.css	(from http://localhost:10016/)
