date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:56:22	118122/118122	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2015%20Oct%202025%2012:56:21%20GMT	http://localhost:10016/	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/index.html	(from )
16:56:23	53557/53557	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Oct%202025%2012:56:23%20GMT	http://localhost:10016/firebase-auth-compat.js	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/firebase-auth-compat.html	(from http://localhost:10016/)
16:56:23	53557/53557	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Oct%202025%2012:56:23%20GMT	http://localhost:10016/ln.href,%20location.origin	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/ln.href,%20location.html	(from http://localhost:10016/)
16:56:24	39153/39153	U--MCZ	200	updated ('OK')	application/rss+xml	etag:W/%22cdcc10c4cd9f652770c2899ecc29c988%22	http://localhost:10016/feed/	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/feed/index.html	(from http://localhost:10016/)
16:56:24	5028/5028	U--MCZ	200	updated ('OK')	application/rss+xml	etag:W/%22cdcc10c4cd9f652770c2899ecc29c988%22	http://localhost:10016/comments/feed/	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/comments/feed/index.html	(from http://localhost:10016/)
16:56:24	19740/19740	U-----	200	untouched ('OK')	text/css	etag:W/%2268ef4d72-4d1c%22	http://localhost:10016/wp-content/uploads/blocksy/css/global.css?ver=13394	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/wp-content/uploads/blocksy/css/global2ade.css	(from http://localhost:10016/)
16:56:24	91636/91636	U-----	200	untouched ('OK')	text/css	etag:W/%2268edcefc-165f4%22	http://localhost:10016/wp-content/plugins/stackable-ultimate-gutenberg-blocks/dist/frontend_blocks.css?ver=3.19.1	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/wp-content/plugins/stackable-ultimate-gutenberg-blocks/dist/frontend_blocksa2f8.css	(from http://localhost:10016/)
16:56:24	116345/116345	U-----	200	untouched ('OK')	text/css	etag:W/%22686d16f8-1c679%22	http://localhost:10016/wp-includes/css/dist/block-library/style.min.css?ver=6.8.3	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/wp-includes/css/dist/block-library/style.min32d4.css	(from http://localhost:10016/)
16:56:25	885/885	U-----	200	untouched ('OK')	text/css	etag:W/%2268e9c043-375%22	http://localhost:10016/wp-content/themes/blocksy/style.css?ver=6.8.3	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/wp-content/themes/blocksy/style32d4.css	(from http://localhost:10016/)
16:56:25	101196/101196	U-----	200	untouched ('OK')	text/css	etag:W/%2268e9c042-18b4c%22	http://localhost:10016/wp-content/themes/blocksy/static/bundle/main.min.css?ver=2.1.15	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/wp-content/themes/blocksy/static/bundle/main.min202b.css	(from http://localhost:10016/)
16:56:25	346/346	U-----	200	untouched ('OK')	text/css	etag:W/%2268e9c042-15a%22	http://localhost:10016/wp-content/themes/blocksy/static/bundle/stackable.min.css?ver=2.1.15	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/wp-content/themes/blocksy/static/bundle/stackable.min202b.css	(from http://localhost:10016/)
16:56:26	259624/259624	U--MCZ	200	updated ('OK')	application/json	date:Wed,%2015%20Oct%202025%2012:56:25%20GMT	http://localhost:10016/wp-json/	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/wp-json/index.html	(from http://localhost:10016/)
16:56:26	72823/72823	U--MCZ	200	updated ('OK')	application/json	date:Wed,%2015%20Oct%202025%2012:56:26%20GMT	http://localhost:10016/wp-json/wp/v2/pages/772	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/wp-json/wp/v2/pages/772.json	(from http://localhost:10016/)
16:56:26	798/798	U--MC-	200	updated ('OK')	text/xml	date:Wed,%2015%20Oct%202025%2012:56:26%20GMT	http://localhost:10016/xmlrpc.php?rsd	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/xmlrpc0db0.php	(from http://localhost:10016/)
16:56:27	2021/2021	U--MCZ	200	updated ('OK')	application/json	date:Wed,%2015%20Oct%202025%2012:56:26%20GMT	http://localhost:10016/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A10016%2F	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/wp-json/oembed/1.0/embededb5.json	(from http://localhost:10016/)
16:56:27	99/99	U-----	200	untouched ('OK')	text/css	etag:%2268e9c042-63%22	http://localhost:10016/wp-content/themes/blocksy/static/bundle/no-scripts.min.css	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/wp-content/themes/blocksy/static/bundle/no-scripts.min.css	(from http://localhost:10016/)
16:56:27	2183/2183	U--MC-	200	updated ('OK')	text/xml	date:Wed,%2015%20Oct%202025%2012:56:26%20GMT	http://localhost:10016/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A10016%2F&format=xml	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/wp-json/oembed/1.0/embeda2f7	(from http://localhost:10016/)
16:56:27	1840/1840	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%2268edcf02-730%22	http://localhost:10016/wp-content/uploads/2021/06/logo_light.svg	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/wp-content/uploads/2021/06/logo_light.svg	(from http://localhost:10016/)
16:56:28	113181/113181	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2015%20Oct%202025%2012:56:27%20GMT	http://localhost:10016/about/	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/about/index.html	(from http://localhost:10016/)
16:56:28	41202/41202	U-----	200	untouched ('')	image/jpeg	etag:%2268edcf04-a0f2%22	http://localhost:10016/wp-content/uploads/2021/06/video-7.jpg	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/wp-content/uploads/2021/06/video-7.jpg	(from http://localhost:10016/)
16:56:28	78292/78292	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2015%20Oct%202025%2012:56:27%20GMT	http://localhost:10016/blog/	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/blog/index.html	(from http://localhost:10016/)
16:56:30	29279/29279	U-----	200	untouched ('')	image/jpeg	etag:%2268edcf04-725f%22	http://localhost:10016/wp-content/uploads/2021/06/video-3.jpg	C:/Users/moham/Desktop/Fable-Export/Fable/localhost_10016/wp-content/uploads/2021/06/video-3.jpg	(from http://localhost:10016/)
